"","start_station_id","start_station_latitude","start_station_longitude","count"
"102","3060",40.69425403,-73.94626915,0.000344321537498089
"103","3061",40.69622937,-73.94371094,0.00020565994837408
"104","3062",40.69539817,-73.94954908,0.000411928358133881
"105","3063",40.69527008,-73.95238108,0.000274010444036865
"106","3065",40.70029511,-73.95032283,0.000273199162189236
"107","3066",40.69957608,-73.94708417,0.000342901794264738
"108","3067",40.7016657,-73.9437303,0.000492853722434925
"109","3068",40.7031724,-73.940636,0.000489405774582499
"110","3069",40.70411791,-73.94818595,0.000309639238511928
"111","307",40.71427487,-73.98990025,0.00345301836397308
"112","3070",40.70510918,-73.94407279,0.000334924189429714
"113","3071",40.70538077,-73.94976519,0.000417201690143473
"114","3072",40.70583339,-73.94644578,0.000334315728043992
"115","3073",40.70691254,-73.95441667,0.000215800971469448
"116","3074",40.70767788,-73.94016171,0.00057952566649001
